Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V10162,V10162,10162,5705020101625,STANDALONE-Dropshipment (Exact Online),ChildProduct,Not Found,"€ 8,72","8/22/2025, 12:15 PM"
V6153,V6153,6153,5705020061530,STANDALONE-Inhoud,ChildProduct,Not Found,"€ 23,34","8/22/2025, 12:15 PM"
V56926,V56926,56926,5705020569265,STANDALONE-Materiaal,ChildProduct,Not Found,"€ 52,31","8/22/2025, 12:15 PM"
V45895,V45895,45895,5705020458958,STANDALONE-Verpakking afmeting,ChildProduct,Not Found,"€ 11,82","8/22/2025, 12:15 PM"
V29372,V29372,29372,5705020293726,Vikan Hygiene 2937 aluminium steel 150 cm div.kleuren,ChildProduct,Not Found,"€ 24,38","8/22/2025, 12:15 PM"
V10165,V10165,10165,5705020101656,Vikan Hygiene 1016-2 Aanvulset haken,ChildProduct,Not Found,Not Found,"8/22/2025, 12:15 PM"
V56013,V56013,56013,5705020560132,Shop Vikan 56013 130cm groot blad blauw,ChildProduct,Not Found,"€ 68,14","8/22/2025, 12:15 PM"
V41928,V41928,41928,5705020419287,Vikan Hygiene 41928 afwasborstel hard 7x27cm paars,ChildProduct,Not Found,"€ 11,43","8/22/2025, 12:15 PM"
V40601,V40601,40601,5705020406010,"Vikan Hygiene 4060 handschraper 7,5 cm",ChildProduct,Not Found,"€ 3,90","8/22/2025, 12:15 PM"
V29203,V29203,29203,5705020292033,Vikan Hygiene 2920 bezem hard 53cm heavy duty,ChildProduct,Not Found,"€ 40,49","8/22/2025, 12:15 PM"
V77142,V77142,77142,5705020771422,Vikan 7714 hygiene vloertrekker 60cm vaste nek,ChildProduct,Not Found,"€ 23,58","8/22/2025, 12:15 PM"
V41865,V41865,41865,5705020418655,Vikan 4186 Hygiene afwasborstel hard steel 41cm,ChildProduct,Not Found,"€ 14,07","8/22/2025, 12:15 PM"
V476218,V476218,476218,5705024762181,STANDALONE-Vikan ErgoClean 476218 raamtrekker 35cm,ChildProduct,Not Found,"€ 9,97","8/22/2025, 12:15 PM"
V70416,V70416,70416,5705020704161,Vikan Hygiene 70412 luiwagen hard 27cm,ChildProduct,Not Found,"€ 24,03","8/22/2025, 12:15 PM"
