Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V93054,V93054,93054,5705020930546,"Vikan 9305 schuim sproeier set 1,4 liter",SimpleProduct,Not Found,"€ 177,30","12/15/2025, 11:20 PM"
V41813,V41813,41813,5705020418136,"Vikan 4181-3 glazuurborstel zacht 7 x 41,5cm",SimpleProduct,Not Found,"€ 15,75","12/15/2025, 11:20 PM"
V370600,V370600,370600,5705023706001,Vikan 370600 Swish Superior mop frame 90cm klittenband click-fit,SimpleProduct,Not Found,"€ 45,79","12/15/2025, 11:20 PM"
V70436,V70436,70436,5705020704369,Vikan Hygiene 7043-2 luiwagen medium 27cm,SimpleProduct,Not Found,"€ 24,03","12/15/2025, 11:20 PM"
V10195,V10195,10195,5705020101953,Vikan Hygiene 1019-1 Aanvulset klemmen div. kleuren,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V56656B,V56656B,56656B,5705022015333,Vikan Hygiene 56656 afsluitbare stoffer en blik set geel,SimpleProduct,Not Found,"€ 38,41","12/15/2025, 11:20 PM"
V0810,V0810,810,5705020008108,Vikan Classic 0810 zolenreiniger,SimpleProduct,Not Found,"€ 4,01","12/15/2025, 11:20 PM"
V297152,V297152,297152,5705022971011,Vikan Transport telescoopsteel 100-160cm waterdoorvoer slangpilaar,SimpleProduct,Not Found,"€ 64,08","12/15/2025, 11:20 PM"
V10197,V10197,10197,5705020101977,Vikan Hygiene 1019-1 Aanvulset klemmen div. kleuren,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V56915,V56915,56915,5705020569159,Vikan Hygiene 5691-5 hark,SimpleProduct,Not Found,"€ 49,39","12/15/2025, 11:20 PM"
V10191,V10191,10191,5705020101915,Vikan Hygiene 1019-1 Aanvulset klemmen div. kleuren,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V583310,V583310,583310,5705025833101,Vikan ErgoClean 583310 deksel voor BOX 7,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V5585,V5585,5585,5705020055850,Vikan Classic 5585 stofblik metaal,SimpleProduct,Not Found,"€ 8,65","12/15/2025, 11:20 PM"
V60004,V60004,60004,5705022022935,Vikan 60004 maatbeker 2 liter met handvat en milliliter maatverdeling,SimpleProduct,Not Found,"€ 145,02","12/15/2025, 11:20 PM"
V297152C,V297152C,297152C,5705022971523,Vikan Transport telescoopsteel 100-160cm waterdoorvoer Gardena,SimpleProduct,Not Found,"€ 64,08","12/15/2025, 11:20 PM"
V53713,V53713,53713,5705020537134,Vikan Hygiene 53713 buizenborstel zacht,SimpleProduct,Not Found,"€ 47,87","12/15/2025, 11:20 PM"
V56805,V56805,56805,5705020568053,Vikan Hygiene 5680-5 schepbak,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V549145,V549145,549145,5705025491455,Vikan ErgoClean 549145 Windowmop 45cm,SimpleProduct,Not Found,"€ 18,94","12/15/2025, 11:20 PM"
V5523,V5523,5523,5705020055232,Vikan 5523 Schuurpad hard,SimpleProduct,Not Found,"€ 40,32","12/15/2025, 11:20 PM"
V299152,V299152,299152,5705022991019,Vikan Transport 299152 steel 150cm waterdoorvoer,SimpleProduct,Not Found,"€ 38,41","12/15/2025, 11:20 PM"
V290100,V290100,290100,5705022901001,Vikan 290100 Aluminium Telescoop steel Click zwart,SimpleProduct,Not Found,"€ 91,48","12/15/2025, 11:20 PM"
V581519,V581519,581519,5705025815190,Vikan ErgoClean 581519 houder voor BOX 7,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:20 PM"
V473852,V473852,473852,5705024738520,Vikan Transport 473852 losse spons,SimpleProduct,Not Found,"€ 8,49","12/15/2025, 11:20 PM"
V583810,V583810,583810,5705025838106,Vikan ErgoClean 583810 houder opbergzak,SimpleProduct,Not Found,"€ 70,63","12/15/2025, 11:20 PM"
